Problem,Token,POS,Shape,Tag
0,Problem,PROPN,Xxxxx,O
0,2,NUM,d,O
0,.,PUNCT,.,O
0,8,NUM,d,O
0,Give,VERB,Xxxx,O
0,the,DET,xxx,O
0,Venn,PROPN,Xxxx,O
0,diagrams,VERB,xxxx,O
0,for,ADP,xxx,O
0,the,DET,xxx,O
0,following,VERB,xxxx,O
0,sets,NOUN,xxxx,O
0,.,PUNCT,.,O
0,(,PUNCT,(,O
0,i,PUNCT,x,O
0,),PUNCT,),O
0,A,NOUN,X,B-e_1
0,-,PUNCT,-,I-e_1
0,B,PROPN,X,I-e_1
0,(,PUNCT,(,O
0,ii,PROPN,xx,O
0,),PUNCT,),O
0,B,NOUN,X,B-e_1
0,-,PUNCT,-,I-e_1
0,A,NOUN,X,I-e_1
0,(,PUNCT,(,O
0,iii,NOUN,xxx,O
0,),PUNCT,),O
0,A,DET,X,B-e_1
0,',PUNCT,',I-e_1
0,∩,PROPN,∩,I-e_1
0,B,NOUN,X,I-e_1
0,(,PUNCT,(,O
0,iv,PUNCT,xx,O
0,),PUNCT,),O
0,A,DET,X,B-e_1
0,△,NOUN,△,I-e_1
0,B,NOUN,X,I-e_1
0,(,PUNCT,(,O
0,v,NOUN,x,O
0,),PUNCT,),O
0,(,PUNCT,(,B-e_1
0,A,DET,X,I-e_1
0,△,NOUN,△,I-e_1
0,B,NOUN,X,I-e_1
0,),PUNCT,),I-e_1
0,',PUNCT,',I-e_1
0,(,PUNCT,(,O
0,vi,NOUN,xx,O
0,),PUNCT,),O
0,A,DET,X,B-e_1
0,',PUNCT,',I-e_1
0,∪,NOUN,∪,I-e_1
0,B,NOUN,X,I-e_1
0,',PUNCT,',I-e_1
0,<,X,<,O
0,Diagram,PROPN,Xxxxx,O
0,>,X,>,O
1,If,ADP,Xx,O
1,n,CCONJ,x,B-e_1
1,(,PUNCT,(,I-e_1
1,U,NOUN,X,I-e_1
1,),PUNCT,),I-e_1
1,=,SYM,=,I-e_1
1,24,NUM,dd,I-e_1
1,",",PUNCT,",",O
1,n,CCONJ,x,B-e_1
1,(,PUNCT,(,I-e_1
1,A,NOUN,X,I-e_1
1,),PUNCT,),I-e_1
1,=,SYM,=,I-e_1
1,11,NUM,dd,I-e_1
1,",",PUNCT,",",O
1,n,CCONJ,x,B-e_1
1,(,PUNCT,(,I-e_1
1,B,NOUN,X,I-e_1
1,),PUNCT,),I-e_1
1,=,SYM,=,I-e_1
1,18,NUM,dd,I-e_1
1,find,VERB,xxxx,O
1,the,DET,xxx,O
1,greatest,ADJ,xxxx,O
1,number,NOUN,xxxx,O
1,of,ADP,xx,O
1,n,NOUN,x,B-e_1
1,(,PUNCT,(,I-e_1
1,A,DET,X,I-e_1
1,∪,NOUN,∪,I-e_1
1,B,NOUN,X,I-e_1
1,),PUNCT,),I-e_1
1,?,PUNCT,?,O
2,<,X,<,O
2,Diagram,PROPN,Xxxxx,O
2,>,X,>,O
2,Make,VERB,Xxxx,O
2,two,NUM,xxx,O
2,copies,NOUN,xxxx,O
2,of,ADP,xx,O
2,this,DET,xxxx,O
2,Venn,PROPN,Xxxx,O
2,diagram,NOUN,xxxx,O
2,.,PUNCT,.,O
2,On,ADP,Xx,O
2,one,NUM,xxx,O
2,diagram,NOUN,xxxx,O
2,draw,VERB,xxxx,O
2,a,DET,x,O
2,circle,NOUN,xxxx,O
2,to,PART,xx,O
2,represent,VERB,xxxx,O
2,set,VERB,xxx,O
2,C,NOUN,X,B-e_1
2,",",PUNCT,",",O
2,such,ADJ,xxxx,O
2,that,ADP,xxxx,O
2,C,NOUN,X,B-e_1
2,⸦,NOUN,⸦,I-e_1
2,A,PROPN,X,I-e_1
2,and,CCONJ,xxx,O
2,C,PROPN,X,B-e_1
2,∩,VERB,∩,I-e_1
2,B,NOUN,X,I-e_1
2,’,PUNCT,’,I-e_1
2,=,SYM,=,I-e_1
2,C,NOUN,X,I-e_1
2,.,PUNCT,.,O
2,(,PUNCT,(,O
2,b,PUNCT,x,O
2,),PUNCT,),O
2,On,ADP,Xx,O
2,the,DET,xxx,O
2,other,ADJ,xxxx,O
2,diagram,NOUN,xxxx,O
2,draw,VERB,xxxx,O
2,a,DET,x,O
2,circle,NOUN,xxxx,O
2,to,PART,xx,O
2,represent,VERB,xxxx,O
2,set,VERB,xxx,O
2,D,NOUN,X,O
2,such,ADJ,xxxx,O
2,that,ADP,xxxx,O
2,D,NOUN,X,B-e_1
2,⸦,NOUN,⸦,I-e_1
2,A,PROPN,X,I-e_1
2,",",PUNCT,",",O
2,D,PROPN,X,B-e_1
2,∩,VERB,∩,I-e_1
2,B,PROPN,X,I-e_1
2,≠,PROPN,≠,I-e_1
2,𝜙,NOUN,x,I-e_1
2,and,CCONJ,xxx,O
2,D,NOUN,X,B-e_1
2,∪,NOUN,∪,I-e_1
2,B,NOUN,X,I-e_1
2,≠,ADV,≠,I-e_1
2,D,NOUN,X,I-e_1
2,.,PUNCT,.,O
3,Applicants,NOUN,Xxxxx,O
3,who,NOUN,xxx,O
3,had,VERB,xxx,O
3,applied,VERB,xxxx,O
3,to,ADP,xx,O
3,a,DET,x,O
3,music,NOUN,xxxx,O
3,examination,NOUN,xxxx,O
3,had,VERB,xxx,O
3,to,PART,xx,O
3,face,VERB,xxxx,O
3,to,ADP,xx,O
3,a,DET,x,O
3,singing,NOUN,xxxx,O
3,test,NOUN,xxxx,O
3,and,CCONJ,xxx,O
3,a,DET,x,O
3,playing,NOUN,xxxx,O
3,test,NOUN,xxxx,O
3,.,PUNCT,.,O
3,Their,ADJ,Xxxxx,O
3,results,NOUN,xxxx,O
3,are,VERB,xxx,O
3,shown,VERB,xxxx,O
3,in,ADP,xx,O
3,the,DET,xxx,O
3,following,ADJ,xxxx,O
3,venn,NOUN,xxxx,O
3,diagram,NOUN,xxxx,O
3,.,PUNCT,.,O
3,<,X,<,O
3,diagram,VERB,xxxx,O
3,>,X,>,O
3,A,NOUN,X,B-e_1
3,=,SYM,=,I-e_1
3,{,PUNCT,{,I-e_1
3,Applicants,NOUN,Xxxxx,I-e_1
3,who,NOUN,xxx,I-e_1
3,have,VERB,xxxx,I-e_1
3,passed,VERB,xxxx,I-e_1
3,the,DET,xxx,I-e_1
3,singing,NOUN,xxxx,I-e_1
3,test,NOUN,xxxx,I-e_1
3,},PUNCT,},I-e_1
3,B,NOUN,X,B-e_1
3,=,SYM,=,I-e_1
3,{,PUNCT,{,I-e_1
3,Applicants,NOUN,Xxxxx,I-e_1
3,who,NOUN,xxx,I-e_1
3,have,VERB,xxxx,I-e_1
3,passed,VERB,xxxx,I-e_1
3,the,DET,xxx,I-e_1
3,playing,NOUN,xxxx,I-e_1
3,test,NOUN,xxxx,I-e_1
3,},PUNCT,},I-e_1
3,Find,VERB,Xxxx,O
3,the,DET,xxx,O
3,number,NOUN,xxxx,O
3,of,ADP,xx,O
3,applicants,NOUN,xxxx,O
3,who,NOUN,xxx,O
3,have,VERB,xxxx,O
3,passed,VERB,xxxx,O
3,from,ADP,xxxx,O
3,both,DET,xxxx,O
3,singing,NOUN,xxxx,O
3,and,CCONJ,xxx,O
3,playing,NOUN,xxxx,O
3,test,NOUN,xxxx,O
3,.,PUNCT,.,O
3,Find,VERB,Xxxx,O
3,the,DET,xxx,O
3,number,NOUN,xxxx,O
3,of,ADP,xx,O
3,applicants,NOUN,xxxx,O
3,who,NOUN,xxx,O
3,have,VERB,xxxx,O
3,passed,VERB,xxxx,O
3,from,ADP,xxxx,O
3,only,ADV,xxxx,O
3,one,NUM,xxx,O
3,test,NOUN,xxxx,O
3,.,PUNCT,.,O
3,If,ADP,Xx,O
3,the,DET,xxx,O
3,total,ADJ,xxxx,O
3,number,NOUN,xxxx,O
3,of,ADP,xx,O
3,applicants,NOUN,xxxx,O
3,are,VERB,xxx,O
3,100,NUM,ddd,O
3,",",PUNCT,",",O
3,find,VERB,xxxx,O
3,the,DET,xxx,O
3,number,NOUN,xxxx,O
3,of,ADP,xx,O
3,applicants,NOUN,xxxx,O
3,who,NOUN,xxx,O
3,failed,VERB,xxxx,O
3,the,DET,xxx,O
3,both,DET,xxxx,O
3,tests,NOUN,xxxx,O
3,.,PUNCT,.,O
4,Define,PROPN,Xxxxx,O
4,sets,VERB,xxxx,O
4,U,PROPN,X,B-e_1
4,",",PUNCT,",",O
4,A,PROPN,X,B-e_1
4,",",PUNCT,",",O
4,B,NOUN,X,B-e_1
4,as,ADP,xx,O
4,shown,VERB,xxxx,O
4,below,ADP,xxxx,O
4,find,NOUN,xxxx,O
4,(,PUNCT,(,B-e_1
4,A,DET,X,I-e_1
4,∪,NOUN,∪,I-e_1
4,B,NOUN,X,I-e_1
4,),PUNCT,),I-e_1
4,',PUNCT,',I-e_1
4,∩,VERB,∩,I-e_1
4,C,NOUN,X,I-e_1
4,U,NOUN,X,B-e_1
4,=,PUNCT,=,I-e_1
4,(,PUNCT,(,I-e_1
4,a,DET,x,I-e_1
4,",",PUNCT,",",I-e_1
4,b,NOUN,x,I-e_1
4,",",PUNCT,",",I-e_1
4,c,NOUN,x,I-e_1
